County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,1300,EGG HARBOR CITY,030,Egg Harbor City Community School,05,8,4,3,5,15,7,0,0,0,0,0,0,0,0,42,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,030,Egg Harbor City Community School,06,12,10,6,6,5,3,1,0,0,2,0,0,0,0,45,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,030,Egg Harbor City Community School,07,9,5,5,3,6,5,1,0,0,0,0,0,0,0,34,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,030,Egg Harbor City Community School,08,9,7,4,6,6,13,1,0,0,0,0,0,0,0,46,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,030,Egg Harbor City Community School,UG,3,2,4,1,6,4,0,0,0,0,0,0,0,0,20,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,030,Egg Harbor City Community School,55,58,37,29,26,48,37,3,0,0,2,0,0,0,0,240,161,25,6,0
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,PF,2,9,3,5,13,13,0,0,0,0,0,0,3,5,53,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,KF,10,6,8,5,5,5,0,0,0,0,0,0,2,2,43,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,01,3,6,4,6,12,10,0,0,0,0,0,0,0,1,42,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,02,5,8,3,8,8,9,2,0,0,0,0,0,0,0,43,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,03,7,0,4,3,11,6,2,1,0,0,0,0,0,0,34,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,04,17,9,7,5,10,5,0,0,0,0,0,0,0,0,53,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,05,8,4,3,5,15,7,0,0,0,0,0,0,0,0,42,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,06,12,10,6,6,5,3,1,0,0,2,0,0,0,0,45,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,07,9,5,5,3,6,5,1,0,0,0,0,0,0,0,34,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,08,9,7,4,6,6,13,1,0,0,0,0,0,0,0,46,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,UG,6,3,4,1,8,5,0,0,0,0,0,0,0,0,27,,,,
01,ATLANTIC,1300,EGG HARBOR CITY,999,Total,55,88,67,51,53,99,81,7,1,0,2,0,0,5,8,462,318,45,12,0
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,005,Egg Harbor Township H.S.,09,150,162,39,29,50,70,54,38,0,1,0,0,13,9,615,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,005,Egg Harbor Township H.S.,10,161,160,49,37,54,83,29,37,0,0,0,0,19,19,648,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,005,Egg Harbor Township H.S.,11,161,164.5,42,34,76,43,44,41,0,0,0,0,25,17,647.5,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,005,Egg Harbor Township H.S.,12,135,164,37,41,66,63,45,44,0,0,0,0,13,18,626,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,005,Egg Harbor Township H.S.,UG,2,3,0,0,1,2,0,0,0,0,0,0,1,0,9,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,005,Egg Harbor Township H.S.,55,609,653.5,167,141,247,261,172,160,0,1,0,0,71,63,2545.5,584,232,52,0
