County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,Grade_Level,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,05,05,31,20,3,11,1,10,1,0,0,0,0,0,5,4,86,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,06,06,35,25,10,5,2,2,1,0,0,0,0,0,2,2,84,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,07,07,37,33,8,7,5,6,0,0,0,0,0,0,6,3,105,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,08,08,23,25,3,6,3,4,1,0,0,0,0,0,4,6,75,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,UG,UG,1,0,3,1,0,0,0,0,0,0,0,0,0,0,5,,,,
01,ATLANTIC,0010,ABSECON CITY,050,Emma C Attales,55,TOTAL,127,103,27,30,11,22,3,0,0,0,0,0,17,15,355,121,23,5,0
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,PF,PK,4,4,2,6,1,0,3,5,0,0,0,0,0,0,25,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,KF,KG,25,26,4,3,12,5,5,1,0,0,1,0,1,1,84,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,01,01,21,31,2,6,3,5,4,3,0,0,0,0,1,0,76,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,02,02,30,17,5,2,4,7,0,5,0,0,1,0,2,1,74,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,03,03,26,32,9,8,6,6,0,1,0,0,0,0,2,2,92,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,04,04,27,28,6,12,6,2,0,5,0,0,0,0,3,3,92,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,UG,UG,9,2,2,2,2,1,0,1,0,0,0,0,0,0,19,,,,
01,ATLANTIC,0010,ABSECON CITY,060,H Ashton Marsh,55,TOTAL,142,140,30,39,34,26,12,21,0,0,2,0,9,7,462,184,28,43,0
01,ATLANTIC,0010,ABSECON CITY,999,District Total,PF,PK,4,4,2,6,1,0,3,5,0,0,0,0,0,0,25,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,KF,KG,25,26,4,3,12,5,5,1,0,0,1,0,1,1,84,,,,
01,ATLANTIC,0010,ABSECON CITY,999,District Total,01,01,21,31,2,6,3,5,4,3,0,0,0,0,1,0,76,,,,
