County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,01,33,20,6,6,8,5,1,5,0,0,0,0,1,1,86,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,02,34,40,6,4,6,4,9,4,0,0,0,0,0,1,108,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,03,35,18,4,5,2,6,4,5,0,0,0,0,0,0,79,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,04,30,30,5,6,6,4,5,5,0,0,0,0,0,1,92,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,UG,7,6,4,2,4,1,0,0,0,0,0,0,0,0,24,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,55,167,138,31,33,30,26,26,23,0,0,0,0,1,4,479,153,29,34,0
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,PH,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,KF,28,24,6,10,3,6,6,4,0,0,0,0,0,1,88,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,01,33,20,6,6,8,5,1,5,0,0,0,0,1,1,86,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,02,34,40,6,4,6,4,9,4,0,0,0,0,0,1,108,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,03,35,18,4,5,2,6,4,5,0,0,0,0,0,0,79,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,04,30,30,5,6,6,4,5,5,0,0,0,0,0,1,92,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,05,28,27,5,8,5,2,6,1,0,0,0,0,0,0,82,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,06,28,29,4,7,1,4,6,5,0,0,0,0,0,0,84,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,07,24,27,9,11,9,2,7,2,0,0,0,0,0,2,93,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,08,31,22,5,6,3,4,5,1,0,0,0,0,0,0,77,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,UG,12,8,5,2,5,1,0,1,0,0,0,0,0,0,34,,,,
01,ATLANTIC,0010,Absecon Public Schools,999,District Total,55,283,245,55,65,49,38,50,33,0,0,0,0,1,6,825,246,53,55,0
01,ATLANTIC,0110,Atlantic City Public Schools,010,Atlantic City High School,09,66,68,97,96,117,103.5,56,31,0,0,6,1,0,0,641.5,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,010,Atlantic City High School,10,46.5,51,83,76,84,74,44,31,0,0,3,0,0,0,492.5,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,010,Atlantic City High School,11,50,51,77,72.5,73.5,73.5,42,39,1,0,6,5,1,0,491.5,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,010,Atlantic City High School,12,44.5,56,66,64,64.5,69,46,36,0,0,6,4,0,0,456,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,010,Atlantic City High School,UG,3,1,21,8,15,8,3,0,0,0,0,0,0,0,59,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,010,Atlantic City High School,55,210,227,344,316.5,354,328,191,137,1,0,21,10,1,0,2140.5,1411,79,108,0
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,PF,1,1,1,1,1,6,1,2,0,0,0,0,1,0,15,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,KF,0,4,1,2,39,37,6,9,0,0,3,2,0,0,103,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,01,0,1,4,2,36,36,13,11,0,0,4,2,0,0,109,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,02,2,0,3,4,41,29,11,8,0,0,1,0,0,0,99,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,03,1,0,2,2,21,27,13,8,0,0,5,2,0,0,81,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,04,0,0,3,3,38,28,11,10,0,0,2,0,0,0,95,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,05,4,0,2,3,33,32,5,9,0,0,3,4,0,0,95,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,06,0,1,4,1,29,27,8,9,0,0,3,2,0,0,84,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,07,0,0,2,2,20,22,14,11,0,0,1,1,0,0,73,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,08,0,0,1,0,33,20,8,14,0,0,0,0,0,0,76,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,UG,0,0,1,2,1,2,0,2,0,0,1,0,0,0,9,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,55,8,7,24,22,292,266,90,93,0,0,23,13,1,0,839,751,51,172,0
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,KF,1,1,7,8,7,8,8,5,0,0,0,0,0,0,45,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,01,1,1,8,5,5,9,2,5,0,0,0,0,1,0,37,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,02,0,1,6,3,10,12,0,9,0,0,1,0,0,0,42,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,03,0,2,5,2,6,8,2,3,0,0,0,0,0,0,28,,,,
