County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,Grade_Level,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,08,08,0,0,2,1,26,26,15,14,0,0,2,1,0,0,87,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,UG,UG,0,0,1,1,3,1,0,2,0,0,1,0,0,0,9,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,030,Sovereign Avenue School,55,TOTAL,8,4,34,21,299,295,96,101,0,0,34,21,1,0,914,810,62,374,0
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,KF,KG,0,1,6,4,14,5,5,5,0,0,0,0,0,0,40,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,01,01,2,3,6,6,7,8,9,3,0,0,0,0,1,0,45,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,02,02,2,1,6,4,5,10,1,5,0,0,0,0,0,0,34,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,03,03,1,1,4,3,11,11,0,9,0,0,1,0,0,0,41,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,04,04,0,2,4,2,6,9,6,3,0,0,0,0,0,0,32,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,05,05,2,1,7,3,6,9,3,1,0,0,0,0,0,1,33,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,06,06,2,0,8,5,5,11,4,2,0,0,0,0,0,0,37,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,07,07,4,4,9,3,18,17,10,14,0,0,0,3,0,0,82,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,08,08,1,3,5,6,14,18,6,10,0,0,0,0,0,0,63,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,050,Chelsea Heights School,55,TOTAL,14,16,55,36,86,98,44,52,0,0,1,3,1,1,407,337,29,16,0
01,ATLANTIC,0110,Atlantic City Public Schools,060,Texas Avenue School,KF,KG,0,0,2,3,36,32,9,6,0,0,2,3,0,0,93,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,060,Texas Avenue School,01,01,0,0,3,3,34,30,9,19,0,0,0,1,0,0,99,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,060,Texas Avenue School,02,02,0,0,1,3,24,34,9,9,0,0,0,0,0,0,80,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,060,Texas Avenue School,03,03,0,0,3,3,32,26,17,9,0,0,1,1,0,0,92,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,060,Texas Avenue School,04,04,0,0,3,0,28,23,12,5,0,0,1,0,0,0,72,,,,
01,ATLANTIC,0110,Atlantic City Public Schools,060,Texas Avenue School,05,05,0,0,7,1,19,22,9,8,0,0,0,1,0,0,67,,,,
01,ATLANTIC,0010,Absecon Public Schools,050,Emma C Attales,05,05,28,28,6,7,6,6,5,5,0,0,0,0,0,1,92,,,,
01,ATLANTIC,0010,Absecon Public Schools,050,Emma C Attales,06,06,29,25,6,10,7,6,5,2,0,0,0,0,0,0,90,,,,
01,ATLANTIC,0010,Absecon Public Schools,050,Emma C Attales,07,07,29,31,7,6,2,5,7,5,0,0,0,0,0,1,93,,,,
01,ATLANTIC,0010,Absecon Public Schools,050,Emma C Attales,08,08,24,26,11,10,11,2,7,2,0,0,0,0,0,1,94,,,,
01,ATLANTIC,0010,Absecon Public Schools,050,Emma C Attales,UG,UG,4,2,1,3,1,0,0,1,0,0,0,0,0,0,12,,,,
01,ATLANTIC,0010,Absecon Public Schools,050,Emma C Attales,55,TOTAL,114,112,31,36,27,19,24,15,0,0,0,0,0,3,381,115,23,6,0
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,KF,KG,20,24,3,8,17,8,3,7,0,0,0,0,0,3,93,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,01,01,34,23,5,8,3,8,4,6,0,0,0,0,1,1,93,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,02,02,28,23,6,3,11,6,1,5,0,0,0,0,2,0,85,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,03,03,34,38,6,3,11,5,9,4,0,0,0,0,0,1,111,,,,
01,ATLANTIC,0010,Absecon Public Schools,060,H Ashton Marsh,04,04,33,20,2,5,4,6,4,5,0,0,0,0,0,0,79,,,,
