County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,Grade_Level,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,Atlantic,0010,Absecon City,050,Emma C Attales,05,05,25,26,7,12,8,3,0,6,0,0,0,0,3,1,91,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,06,06,30,19,5,12,5,10,2,0,0,0,0,0,6,4,93,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,07,07,35,23,9,6,3,2,0,0,0,0,0,0,2,2,82,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,08,08,37,33,7,10,5,6,1,0,0,0,0,0,5,3,107,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,UG,UG,3,0,2,1,1,1,0,0,0,0,0,0,0,0,8,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,55,Total,130,101,30,41,22,22,3,6,0,0,0,0,16,10,381,134,33,9,0
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,PF,PK,8,3,3,4,3,2,1,1,0,0,0,0,0,2,27,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,KF,KG,28,24,8,6,8,7,6,9,0,0,1,0,3,3,103,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,01,01,22,24,4,4,10,5,5,1,0,0,0,0,2,1,78,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,02,02,21,30,4,11,4,7,1,3,0,0,0,0,5,1,87,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,03,03,30,19,5,3,8,8,0,4,0,0,1,0,3,1,82,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,04,04,24,34,14,7,8,8,0,3,0,0,0,0,3,2,103,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,UG,UG,7,0,1,2,2,0,0,0,0,0,0,0,0,1,13,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,55,Total,140,134,39,37,43,37,13,21,0,0,2,0,16,11,493,200,47,49,0
01,Atlantic,0010,Absecon City,999,District Total,PF,Total,8,3,3,4,3,2,1,1,0,0,0,0,0,2,27,,,,
01,Atlantic,0010,Absecon City,999,District Total,KF,Total,28,24,8,6,8,7,6,9,0,0,1,0,3,3,103,,,,
01,Atlantic,0010,Absecon City,999,District Total,01,Total,22,24,4,4,10,5,5,1,0,0,0,0,2,1,78,,,,
01,Atlantic,0010,Absecon City,999,District Total,02,Total,21,30,4,11,4,7,1,3,0,0,0,0,5,1,87,,,,
01,Atlantic,0010,Absecon City,999,District Total,03,Total,30,19,5,3,8,8,0,4,0,0,1,0,3,1,82,,,,
01,Atlantic,0010,Absecon City,999,District Total,04,Total,24,34,14,7,8,8,0,3,0,0,0,0,3,2,103,,,,
01,Atlantic,0010,Absecon City,999,District Total,05,Total,25,26,7,12,8,3,0,6,0,0,0,0,3,1,91,,,,
01,Atlantic,0010,Absecon City,999,District Total,06,Total,30,19,5,12,5,10,2,0,0,0,0,0,6,4,93,,,,
01,Atlantic,0010,Absecon City,999,District Total,07,Total,35,23,9,6,3,2,0,0,0,0,0,0,2,2,82,,,,
01,Atlantic,0010,Absecon City,999,District Total,08,Total,37,33,7,10,5,6,1,0,0,0,0,0,5,3,107,,,,
01,Atlantic,0010,Absecon City,999,District Total,UG,Total,10,0,3,3,3,1,0,0,0,0,0,0,0,1,21,,,,
01,Atlantic,0010,Absecon City,999,District Total,55,Total,270,235,69,78,65,59,16,27,0,0,2,0,32,21,874,334,80,58,0
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,09,Total,29,31,112,75,115,80,61,43,1,0,5,2,1,2,557,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,10,Total,33,30,81,51,100,78,45,36,1,2,2,3,1,1,464,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,11,Total,36,27,65,63,82,66,53,50,0,1,1,3,0,0,447,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,12,Total,40,32,43,47,65,79,52,43,0,1,0,0,1,0,403,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,UG,Total,1,0,2,3,3,1,0,1,0,0,0,0,0,0,11,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,55,Total,139,120,303,239,365,304,211,173,2,4,8,8,3,3,1882,1481,71,144,0
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,PF,Total,0,1,0,4,22,16,10,7,0,0,0,0,0,0,60,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,KF,Total,1,0,1,2,19,23,13,7,0,0,0,0,0,0,66,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,01,Total,0,0,1,4,26,16,5,6,0,0,0,0,0,0,58,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,02,Total,2,0,0,2,25,30,4,8,1,0,0,0,0,1,73,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,03,Total,0,0,1,3,30,28,9,8,0,0,0,0,1,0,80,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,04,Total,0,1,3,2,26,36,7,6,0,1,0,0,0,1,83,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,05,Total,0,0,1,2,20,25,5,6,0,0,2,6,0,0,67,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,06,Total,2,0,2,3,33,28,9,14,0,0,5,1,0,1,98,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,07,Total,0,1,3,1,24,23,11,10,0,0,4,0,0,0,77,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,08,Total,2,0,2,5,23,19,15,7,0,0,1,0,0,0,74,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,55,Total,7,3,14,28,248,244,88,79,1,1,12,7,1,3,736,676,37,228,0
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,PF,Total,2,1,5,5,15,11,10,8,0,0,0,0,0,2,59,,,,
