County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,Grade_Level,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,Atlantic,0010,Absecon City,050,Emma C Attales,05,05,24,32,14,5,10,10,0,3,0,0,0,0,2,3,103,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,06,06,26,24,9,12,11,5,0,5,0,0,0,0,3,1,96,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,07,07,27,19,3,12,6,11,2,0,0,0,0,0,5,4,89,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,08,08,31,19,10,8,5,3,0,0,0,0,0,0,2,1,79,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,UG,UG,2,1,2,1,1,1,0,0,0,0,0,0,0,0,8,,,,
01,Atlantic,0010,Absecon City,050,Emma C Attales,55,Total,110,95,38,38,33,30,2,8,0,0,0,0,12,9,375,150,30,14,0
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,PF,PK,11,9,4,3,5,4,5,1,0,0,0,1,1,0,44,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,KF,KG,33,19,7,5,12,6,2,1,0,0,0,0,0,1,86,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,01,01,25,23,7,8,4,8,6,7,0,0,1,0,3,4,96,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,02,02,22,24,6,5,11,7,5,1,0,0,0,0,2,1,84,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,03,03,21,26,6,9,4,11,1,3,0,0,0,0,1,0,82,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,04,04,29,15,5,5,11,9,0,4,0,0,1,0,3,2,84,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,UG,UG,2,0,1,1,1,1,0,0,0,0,0,0,1,1,8,,,,
01,Atlantic,0010,Absecon City,060,H Ashton Marsh,55,Total,143,116,36,36,48,46,19,17,0,0,2,1,11,9,484,205,36,41,0
01,Atlantic,0010,Absecon City,999,District Total,PF,PK,11,9,4,3,5,4,5,1,0,0,0,1,1,0,44,,,,
01,Atlantic,0010,Absecon City,999,District Total,KF,KG,33,19,7,5,12,6,2,1,0,0,0,0,0,1,86,,,,
01,Atlantic,0010,Absecon City,999,District Total,01,01,25,23,7,8,4,8,6,7,0,0,1,0,3,4,96,,,,
01,Atlantic,0010,Absecon City,999,District Total,02,02,22,24,6,5,11,7,5,1,0,0,0,0,2,1,84,,,,
01,Atlantic,0010,Absecon City,999,District Total,03,03,21,26,6,9,4,11,1,3,0,0,0,0,1,0,82,,,,
01,Atlantic,0010,Absecon City,999,District Total,04,04,29,15,5,5,11,9,0,4,0,0,1,0,3,2,84,,,,
01,Atlantic,0010,Absecon City,999,District Total,05,05,24,32,14,5,10,10,0,3,0,0,0,0,2,3,103,,,,
01,Atlantic,0010,Absecon City,999,District Total,06,06,26,24,9,12,11,5,0,5,0,0,0,0,3,1,96,,,,
01,Atlantic,0010,Absecon City,999,District Total,07,07,27,19,3,12,6,11,2,0,0,0,0,0,5,4,89,,,,
01,Atlantic,0010,Absecon City,999,District Total,08,08,31,19,10,8,5,3,0,0,0,0,0,0,2,1,79,,,,
01,Atlantic,0010,Absecon City,999,District Total,UG,UG,4,1,3,2,2,2,0,0,0,0,0,0,1,1,16,,,,
01,Atlantic,0010,Absecon City,999,District Total,55,Total,253,211,74,74,81,76,21,25,0,0,2,1,23,18,859,355,66,55,0
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,09,09,19,25,64,57,87,78,45,40,0,0,1,1,1,0,418,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,10,10,31,32,99,65,116,90,59,44,1,0,3,4,1,2,547,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,11,11,30,31,55,42,60,64,42,40,1,1,2,3,1,1,373,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,12,12,39,27,61,53,71,70,51,51,0,1,2,3,0,1,430,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,UG,UG,1,0,7,4,9,3,3,1,0,0,0,0,0,0,28,,,,
01,Atlantic,0110,Atlantic City,010,Atlantic City High School,55,Total,120,115,286,221,343,305,200,176,2,2,8,11,3,4,1796,1418,83,149,0
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,PF,PK,1,3,2,2,16,13,7,15,0,0,0,0,0,1,60,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,KF,KG,0,0,0,3,18,17,13,6,0,0,0,0,0,0,57,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,01,01,1,0,0,2,15,24,15,7,0,0,0,0,0,0,64,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,02,02,0,0,1,3,24,12,5,6,0,0,0,0,0,0,51,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,03,03,1,0,0,2,20,29,3,9,1,0,0,0,0,0,65,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,04,04,1,0,1,0,27,27,9,9,0,0,0,0,0,0,74,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,05,05,0,1,2,2,32,38,7,5,0,1,0,0,0,2,90,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,06,06,0,0,1,1,29,35,7,10,0,0,2,7,0,0,92,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,07,07,2,0,0,2,30,27,8,16,0,0,4,0,0,0,89,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,08,08,0,1,3,2,23,25,11,8,0,0,4,0,0,0,77,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,UG,UG,0,0,1,0,10,4,0,1,0,0,0,0,0,0,16,,,,
01,Atlantic,0110,Atlantic City,030,Sovereign Avenue School,55,Total,6,5,11,19,244,251,85,92,1,1,10,7,0,3,735,667,48,212,0
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,PF,PK,2,2,5,3,15,14,12,1,0,0,0,0,0,1,55,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,KF,KG,2,1,4,3,7,5,4,3,0,0,0,0,0,2,31,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,01,01,1,1,4,2,8,10,4,8,0,1,0,0,0,0,39,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,02,02,2,0,5,6,6,5,4,4,1,0,0,0,1,0,34,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,03,03,2,0,4,3,8,8,3,8,0,0,0,0,0,0,36,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,04,04,0,0,3,2,9,8,8,2,1,0,0,0,1,0,34,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,05,05,2,1,3,4,8,4,3,3,1,0,0,0,0,0,29,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,06,06,0,1,3,2,9,7,6,6,0,0,0,0,0,0,34,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,07,07,2,1,5,4,6,14,9,5,0,0,0,2,2,0,50,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,08,08,1,0,2,0,7,12,1,3,0,0,0,0,0,0,26,,,,
01,Atlantic,0110,Atlantic City,050,Chelsea Heights School,55,Total,14,7,38,29,83,87,54,43,3,1,0,2,4,3,368,331,11,42,1
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,KF,KG,1,0,1,0,18,22,5,5,0,0,0,0,0,0,52,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,01,01,0,0,1,1,17,20,7,7,1,0,0,0,2,0,56,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,02,02,1,0,1,0,14,20,4,6,0,0,0,0,0,0,46,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,03,03,1,0,1,0,19,28,5,6,0,0,0,0,0,0,60,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,04,04,0,0,2,1,15,18,2,7,0,0,0,0,0,1,46,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,05,05,0,0,2,0,13,20,7,6,0,0,0,0,0,0,48,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,06,06,0,1,3,0,21,26,9,6,0,0,3,1,0,1,71,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,07,07,0,0,0,0,25,30,6,12,1,0,0,1,0,0,75,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,08,08,0,0,2,0,20,24,13,9,0,0,0,0,0,0,68,,,,
01,Atlantic,0110,Atlantic City,060,Texas Avenue School,55,Total,3,1,13,2,162,208,58,64,2,0,3,2,2,2,522,499,12,214,0
01,Atlantic,0110,Atlantic City,070,New York Avenue School,PF,PK,0,0,13,20,5,5,0,0,0,0,0,0,0,2,45,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,KF,KG,0,0,16,27,10,6,1,0,0,0,0,0,2,0,62,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,01,01,0,0,22,25,6,12,0,1,0,0,0,0,2,1,69,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,02,02,0,1,23,19,8,4,1,3,0,0,0,0,1,0,60,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,03,03,0,1,11,13,8,9,0,1,0,0,0,0,2,1,46,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,04,04,0,0,27,16,3,6,1,0,0,0,0,0,1,1,55,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,05,05,0,1,11,23,8,5,1,3,0,0,0,0,0,0,52,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,06,06,2,0,20,21,2,4,2,0,0,0,1,0,0,0,52,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,07,07,0,1,18,18,3,10,0,0,0,0,0,0,0,0,50,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,08,08,0,0,17,27,3,1,1,2,0,0,0,1,0,1,53,,,,
01,Atlantic,0110,Atlantic City,070,New York Avenue School,UG,UG,0,0,27,5,5,3,0,0,0,0,0,0,0,0,40,,,,
