County Code,County Name,District Code,District Name,Total Enrollment,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,Native American,%Native American,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Pre-K Halfday,Pre-K FullDay,Kindergarten Halfday,Kindergarten Fullday,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eighth Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade,Ungraded,%Free Lunch,%Reduced Lunch,%English Learners,%Migrant,%Military,%Homeless
01,Atlantic,4800,Somers Point City,854,380,44.5,114,13.3,268,31.4,20,2.3,4,0.5,1,0.1,67,7.8,0,68,0,78,75,100,77,95,79,84,79,86,0,0,0,0,33,55.6,7.8,8.1,0,0.4,0.5
01,Atlantic,5350,Ventnor City,641,276,43.1,22,3.4,249,38.8,69,10.8,1,0.2,0,0,24,3.7,0,72,0,63,54,54,60,60,70,61,83,54,0,0,0,0,10,53.4,6.6,3.1,0,0.2,1.1
01,Atlantic,5760,Weymouth Twp,154,115,74.7,16,10.4,18,11.7,2,1.3,0,0,0,0,3,1.9,0,11,0,18,20,11,14,25,10,18,13,14,0,0,0,0,0,35.7,7.8,0,0,0,0
03,Bergen,0040,Allendale Boro,862,621,72,9,1,49,5.7,140,16.2,0,0,1,0.1,42,4.9,25,0,0,81,64,89,90,114,99,91,101,108,0,0,0,0,0,0.6,0,0.8,0,0,0
03,Bergen,0080,Alpine Boro,153,85,55.6,9,5.9,10,6.5,33,21.6,0,0,0,0,16,10.5,0,0,0,11,14,18,25,15,13,22,18,17,0,0,0,0,0,0,0,2,0,0,0
03,Bergen,0285,Bergen Co Special Service,665,252,37.9,74,11.1,267,40.2,58,8.7,2,0.3,1,0.2,11,1.7,2,10,0,5,7,14,6,5,10,9,13,6,10,10,17,37,504,15.6,1.8,2.1,0,0,0.6
03,Bergen,0290,Bergen County Vocational Technical School District,2388,1015,42.5,155,6.5,416.5,17.4,780,32.7,3,0.1,18,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,622,604.5,588.5,569,4,9.5,3.3,0.5,0,0,0
03,Bergen,0300,Bergenfield Boro,3627,406,11.2,275,7.6,1930,53.2,908,25,3,0.1,16,0.4,89,2.5,0,31,0,238,238,211,218,272,272,252,285,289,287,313,276,274,171,26.2,8.1,6.8,0,0.2,0.3
03,Bergen,0440,Bogota Boro,1107,194,17.5,92,8.3,720,65,87,7.9,1,0.1,6,0.5,7,0.6,0,18,0,71,66,57,80,101,92,78,74,88,77,92,83,75,55,32.1,8.7,5,0,0.3,0.5
03,Bergen,0740,Carlstadt Boro,537,296,55.1,26,4.8,159,29.6,43,8,0,0,2,0.4,11,2,29,2,0,65,40,52,47,56,52,67,56,62,0,0,0,0,9,22.2,7.4,9.5,0,0,0
