CountyCode,CountyName,DistrictCode,DistrictName,EnrollmentChange,EnrollmentChangeNormalized
05,Burlington,3430,Mount Holly Township Public School District,-37,1195
05,Burlington,3440,Mount Laurel Township School District,-182,1050
27,Morris,3450,Mount Olive Township School District,-42,1190
27,Morris,3460,Mountain Lakes Public School District,-49.5,1182.5
39,Union,3470,Mountainside School District,-30,1202
07,Camden,3420,Mt. Ephraim School District,0,1232
01,Atlantic,3480,Mullica Township School District,-54,1178
15,Gloucester,3490,National Park Boro School District,4,1236
25,Monmouth,3500,Neptune City School District,-33,1199
25,Monmouth,3510,Neptune Township School District,-171,1061
27,Morris,3520,Netcong School District,-5,1227
23,Middlesex,3530,New Brunswick School District,-73.5,1158.5
05,Burlington,3540,New Hanover Township,-11,1221
80,Charters,7290,New Horizons Community Charter School,-97,1135
03,Bergen,3550,New Milford Public School District,-7.5,1224.5
39,Union,3560,New Providence School District,-58,1174
80,Charters,6029,Newark Educators Community Charter School,-6,1226
13,Essex,3570,Newark Public School District,-271,961
37,Sussex,3590,Newton Public School District,-37,1195
03,Bergen,3600,North Arlington School District,31.5,1263.5
17,Hudson,3610,North Bergen School District,-176,1056
23,Middlesex,3620,North Brunswick Township School District,-190.5,1041.5
13,Essex,3630,North Caldwell School District,-5,1227
31,Passaic,3640,North Haledon School District,-20,1212
05,Burlington,3650,North Hanover Township School District,-74,1158
19,Hunterdon,3660,North Hunterdon-Voorhees Regional High School District,-149.5,1082.5
35,Somerset,3670,North Plainfield School District,37.5,1269.5
80,Charters,7320,North Star Academy Charter School,377,1609
41,Warren,3675,North Warren Regional School District,-46,1186
09,Cape May,3680,North Wildwood School District,-18,1214
05,Burlington,3690,Northern Burlington County Regional School District,-21,1211
03,Bergen,3700,Northern Highlands Regional High School District,-36,1196
37,Sussex,5105,Northern Hills Academy School District,-3,1229
31,Passaic,3975,Northern Region Educational Services Commission,-12,1220
03,Bergen,3710,Northern Valley Regional High School District,-3,1229
01,Atlantic,3720,Northfield City School District,-54,1178
03,Bergen,3730,Northvale Public School District,-9,1223
03,Bergen,3740,Norwood Public School District,11,1243
13,Essex,3750,Nutley Public School District,-87,1145
03,Bergen,3760,Oakland Public School District,-30,1202
07,Camden,3770,Oaklyn Public School District,-5,1227
80,Charters,7893,Ocean Academy Charter School,87,1319
09,Cape May,3780,Ocean City School District,-71,1161
29,Ocean,3790,Ocean County Vocational Technical School District,-0.5,1231.5
29,Ocean,3800,Ocean Gate School District,2,1234
29,Ocean,3820,Ocean Township School District,-19,1213
25,Monmouth,3830,Oceanport School District,-61,1171
37,Sussex,3840,Ogdensburg Borough School District,-2,1230
23,Middlesex,3845,Old Bridge Township School District,-348.5,883.5
03,Bergen,3850,Old Tappan Public School District,-9,1223
33,Salem,3860,Oldmans Township School District,-4,1228
03,Bergen,3870,Oradell Public School District,-20,1212
13,Essex,3880,Orange Board Of Education School District,-22.5,1209.5
41,Warren,3890,Oxford Township School District,-17,1215
80,Charters,7500,Pace Charter School Of Hamilton,41,1273
03,Bergen,3910,Palisades Park School District,-99,1133
05,Burlington,3920,Palmyra Public School District,13,1245
03,Bergen,3930,Paramus Public School District,-127,1105
03,Bergen,3940,Park Ridge School District,-6,1226
27,Morris,3950,Parsippany-Troy Hills Township School District,-58,1174
03,Bergen,3960,Pascack Valley Regional High School District,-41,1191
80,Charters,6080,Passaic Arts And Science Charter School,142,1374
31,Passaic,3970,Passaic City School District,-700,532
31,Passaic,3980,Passaic County Manchester Regional High School District,2,1234
31,Passaic,3995,Passaic County Vocational School District,222,1454
31,Passaic,3990,Passaic Valley Regional High School District #1,-77,1155
80,Charters,6096,Paterson Arts And Science Charter School,98,1330
80,Charters,7503,Paterson Charter School For Science And Technology,46,1278
31,Passaic,4010,Paterson Public School District,-1232,0
80,Charters,6025,Paul Robeson Charter School For The Humanities,43,1275
15,Gloucester,4020,Paulsboro School District,-28,1204
05,Burlington,4050,Pemberton Township School District,-221,1011
33,Salem,4070,Penns Grove-Carneys Point Regional School District,11.5,1243.5
07,Camden,4060,Pennsauken Township Board Of Education School District,-65,1167
33,Salem,4075,Pennsville School District,-21.5,1210.5
80,Charters,6057,Peoples Preparatory Charter School District,-2,1230
27,Morris,4080,Pequannock Township School District,7,1239
23,Middlesex,4090,Perth Amboy Public School District,-232,1000
80,Charters,6106,Philip'S Academy Charter School Of Paterson,134,1366
80,Charters,6094,Phillip'S Academy  Charter School,25,1257
41,Warren,4100,Phillipsburg School District,-88,1144
07,Camden,4110,Pine Hill School District,-73,1159
29,Ocean,4105,Pinelands Regional School District,10,1242
23,Middlesex,4130,Piscataway Township School District,-143,1089
15,Gloucester,4140,Pitman Boro School District,-115,1117
33,Salem,4150,Pittsgrove Township School District,-1,1231
39,Union,4160,Plainfield Public School District,227,1459
01,Atlantic,4180,Pleasantville Public School District,-89,1143
29,Ocean,4190,Plumsted Township School District,-93.5,1138.5
41,Warren,4200,Pohatcong Township School District,-16,1216
29,Ocean,4220,Point Pleasant Beach School District,5.5,1237.5
29,Ocean,4210,Point Pleasant Borough School District,-130.5,1101.5
31,Passaic,4230,Pompton Lakes School District,30.5,1262.5
01,Atlantic,4240,Port Republic School District,1,1233
80,Charters,6020,Pride Academy Charter School District,14,1246
80,Charters,7540,Princeton Charter School,3,1235
21,Mercer,4255,Princeton Public Schools,-180,1052
80,Charters,6104,Principle Academy Charter School,56,1288
31,Passaic,4270,Prospect Park Public School District,-43,1189
33,Salem,4280,Quinton Township School District,-32,1200
39,Union,4290,Rahway Public School District,-55.5,1176.5
03,Bergen,4300,Ramapo Indian Hills Regional High School District,-27,1205
03,Bergen,4310,Ramsey School District,-90,1142
05,Burlington,4320,Rancocas Valley Regional High School District,26,1258
27,Morris,4330,Randolph Township School District,-223.5,1008.5
19,Hunterdon,4350,Readington Township School District,-72,1160
25,Monmouth,4360,Red Bank Borough Public School District,-36,1196
80,Charters,7720,Red Bank Charter School,3,1235
25,Monmouth,4365,Red Bank Regional School District,21,1253
80,Charters,7727,Ridge And Valley Charter School,-10,1222
03,Bergen,4380,Ridgefield Park Public School District,-59,1173
03,Bergen,4370,Ridgefield School District,-57,1175
03,Bergen,4390,Ridgewood Public School District,-155,1077
31,Passaic,4400,Ringwood School District,-49,1183
03,Bergen,4405,River Dell Regional School District,-16.5,1215.5
03,Bergen,4410,River Edge School District,-3,1229
03,Bergen,4430,River Vale Public School District,-34,1198
80,Charters,6026,Riverbank Charter School Of Excellence,0,1232
27,Morris,4440,Riverdale School District,-27,1205
05,Burlington,4450,Riverside Township School District,-65,1167
05,Burlington,4460,Riverton School District,-13,1219
21,Mercer,5510,Robbinsville Public Schools,-73,1159
80,Charters,7730,Robert Treat Academy Charter School,0,1232
03,Bergen,4470,Rochelle Park School District,-24,1208
27,Morris,4480,Rockaway Borough School District,-39,1193
27,Morris,4490,Rockaway Township School District,-77,1155
25,Monmouth,4520,Roosevelt Borough Public School District,-6,1226
13,Essex,4530,Roseland School District,-11,1221
39,Union,4550,Roselle Park Public School District,-21.5,1210.5
39,Union,4540,Roselle Public Schools,-5,1227
80,Charters,6058,Roseville Community Charter School,10,1242
27,Morris,4560,Roxbury Township School District,-69.5,1162.5
25,Monmouth,4570,Rumson Borough School District,-72,1160
25,Monmouth,4580,Rumson-Fair Haven Regional High School District,-18.5,1213.5
07,Camden,4590,Runnemede Public School District,-16,1216
03,Bergen,4600,Rutherford School District,-80.5,1151.5
03,Bergen,4610,Saddle Brook School District,-102.5,1129.5
03,Bergen,4620,Saddle River School District,-20,1212
33,Salem,4630,Salem City School District,-56.5,1175.5
33,Salem,4635,Salem County Special Services School District,4.5,1236.5
33,Salem,4640,Salem County Vocational Technical School District,-17.5,1214.5
37,Sussex,4650,Sandyston-Walpack Consolidated School District,1,1233
23,Middlesex,4660,Sayreville School District,-185,1047
27,Morris,0785,School District Of The Chathams,-139.5,1092.5
39,Union,4670,Scotch Plains-Fanwood School District,-199.5,1032.5
25,Monmouth,4690,Sea Girt Borough School District,-4,1228
29,Ocean,4710,Seaside Heights School District,10,1242
17,Hudson,4730,Secaucus School District,-72,1160
05,Burlington,4740,Shamong Township School District,-39,1193
25,Monmouth,4760,Shore Regional High School District,-25,1207
25,Monmouth,4770,Shrewsbury Borough School District,-49,1183
80,Charters,7830,Soaring Heights Charter School,5,1237
07,Camden,4790,Somerdale School District,-28,1204
01,Atlantic,4800,Somers Point School District,-67,1165
35,Somerset,4805,Somerset County Educational Services Commission School Distr,11,1243
35,Somerset,4810,Somerset County Vocational And Technical School District,7,1239
35,Somerset,4815,Somerset Hills Regional School District,-148.5,1083.5
35,Somerset,4820,Somerville Public School District,-89,1143
03,Bergen,4845,South  Bergen Jointure Commission School District,-12,1220
23,Middlesex,4830,South Amboy School District,-23.5,1208.5
35,Somerset,4850,South Bound Brook Public School District,-3,1229
23,Middlesex,4860,South Brunswick School District,-219,1013
03,Bergen,4870,South Hackensack School District,-13,1219
15,Gloucester,4880,South Harrison Township School District,-15,1217
19,Hunterdon,1376,South Hunterdon Regional School District,-62.5,1169.5
