"County Code","County Name","District Code","District Name","Total Enrollment","White","Black","Hispanic","Asian","Native American","Hawaiian Native","Two Or More Races","%Free Lunch","%Reduced Lunch","Pre-K","Kindergarten","First Grade","Second Grade","Third Grade","Fourth Grade","Fifth Grade","Sixth Grade","Seventh Grade","Eighth Grade","Ninth Grade","Tenth Grade","Eleventh Grade","Twelfth Grade"
"03","Bergen","0285","Bergen Co Special Service",3.5,-2,28.4,5.2,-5.2,-100,100,-27.3,-0.5,1.1,8.3,-20,14.3,-50,166.7,80,-30,33.3,-23.1,116.7,-40,0,-52.9,13.5
"03","Bergen","0290","Bergen County Vocational Technical School District",2.4,-0.2,-1.3,4.2,6.6,0,-33.3,-100,-3.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3,1.1,1.8
"03","Bergen","0300","Bergenfield Boro",0.7,-5.7,1.1,3.6,-3.2,33.3,-6.2,5.6,-2.6,-1.1,32.3,-13,0.8,12.8,4.1,-14.7,3.7,9.1,-6.7,-1.4,4.2,-8.3,10.9,-0.4
"03","Bergen","0440","Bogota Boro",4.3,-3.1,0,7.5,-4.6,0,-33.3,85.7,1.1,0.700000000000001,50,-21.1,25.8,29.8,-15,-14.9,13,28.2,9.5,-11.4,10.4,-10.9,20.5,12
"03","Bergen","0740","Carlstadt Boro",-3.9,-9.1,-19.2,10.1,-4.7,NA,0,-27.3,-1.7,-1,-25.8,-24.6,55,-19.2,6.4,-19.6,9.6,-14.9,23.2,-11.3,NA,NA,NA,NA
"03","Bergen","0745","Carlstadt-East Rutherford",9.8,2.6,19.4,22.9,-3.4,100,NA,-33.3,-0.700000000000003,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,18,-11.2,5
"03","Bergen","0890","Cliffside Park Boro",-2.4,-5.2,0,-1.5,3.8,-10,0,18.2,-0.799999999999997,-1.5,-10.2,0.5,-3.4,-2.1,-5.8,-1.6,-15.4,13.8,7.9,-12.2,-4.7,-3.1,-6.1,0.9
"03","Bergen","0930","Closter Boro",-4.4,-7.6,42.9,12,-7.5,50,142.9,7.1,-0.7,0,-44,-29.8,11.3,-19.2,0,-5.2,-2.2,8.4,5.6,-8.7,NA,NA,NA,NA
"03","Bergen","0990","Cresskill Boro",-1,-3.2,35,0,0.2,-100,0,14.6,-0.3,-0.1,NA,-28.3,16.5,-9.6,-2.1,4.5,-21.5,5,9.3,11.1,-17.1,2.9,-4.2,1.6
"03","Bergen","1070","Demarest Boro",-1.4,-5.4,100,7.5,0.5,NA,NA,31.6,0.4,0,-6.7,9.3,-14.7,25,-18.9,18.6,-15.1,10.5,-13.3,1.2,NA,NA,NA,NA
